state,district,state_id,district_id,data_name,external_id,data_id,category,phone_1,is_duplicate,downvotes,upvotes,created_job,email,price,title,address,comment,deleted,phone_2,pincode,latitude,longitude,created_by,created_on,Assigned_to,description,source_link,verified_by,resource_type,last_verified_on,quantity_available,verification_status,last verified,resource type,city,pin_code,hospital_available_icu_beds,hospital_available_normal_beds,hospital_available_oxygen_beds,hospital_available_ventilator_beds,🔒 Row ID,Selected By User,Verification Image,oxygen supplier willing to join WhatsAppBot
Uttar Pradesh,Mirzapur,35,664,COVIDFYI,909012c4-0df3-474b-be58-519ad6e58ec0,4087,hospital,9628214214,False,0,0,8,,,Apex Institure Of Medical Sciences,,,False,9415304106,,,,,,,,http://dgmhup.gov.in/documents/Compendium_DOMHFW.pdf,,,4/22/2021 18:29:00,,Available and verified,,,,,,,,,,,,
Maharashtra,Mumbai City,22,378,CW Volunteers,67bf1cca-759b-4227-a552-2822b3a12bb7,27,hospital,91 223759025,False,0,0,11,,as per gov.,BMS Mumbai medical helpline,, ambulance and hospital services of this area ,False,,,,,cw22,30.04.2021,,"majid bandar, dongri, mohmadali road, bhindi bazar",,,,,,,,oxygen bed,,,,,,,,,,
Chhattisgarh,Raipur,10,148,CW Volunteers,48e44e76-154c-407d-a7bc-47815234113d,6,hospital,9424202260,False,0,0,11,,,sp sahu,Indore stadium,,False,,,,,cw9,29.04.21,,,,,,,151,,,oxygen bed,,,,,,,,,,
Delhi (NCT),South West Delhi,12,165,One time verified numbers,0c105696-2709-48d3-970e-20eaa7744a6c,3,hospital,011-25322335,False,0,0,9,,,Surya kiran hospital,Najafgarh,"Hospital number not picking, mobile number hanging up, please try again with the mobile number provided here ASAP",False,7982806070,,,,,,,,,,,"24 April, 3:14AM",,,,,Najafgarh,,,,,,,,,
Delhi (NCT),North West Delhi,12,161,One time verified numbers,42b04b6b-2151-4fad-af3b-a83913d4e7cf,1,hospital,011-43126000,False,0,0,9,,,Bhagwati Hospital,"Rohini, New Delhi","No picking up the call, refernce said you have to visit and check",False,,,,,,,,,,,,23 April - 19:57,,,,ICU Bed,Rohini,,,,,,,,,
Delhi (NCT),South West Delhi,12,165,One time verified numbers,799b1410-1f6c-45e2-8937-4e503b696edd,2,hospital,9354085207,False,0,0,9,,,Jay Hospital,Najafgarh,"Out of network, someone call again later",False,,,,,,,,,,,,23 April 11:02 PM,,,,,Najafgarh,,,,,,,,,
Haryana,Ambala,15,201,One time verified numbers,5ec84352-afca-4f3c-9ead-6aeedd6f1f95,5,hospital,9910223322,False,0,0,9,,,Gyan Sagar Medical College,Ambala, verified at 12:30PM ON 24TH APRIL,False,,,,,,,,(4 hrs drive from delhi),,,,24 April 12:31 PM,Around 20 oxygen beds available,Verified,,Oxygen Bed,Ambala,,,,20,,,,,
Rajasthan,Sikar,30,528,One time verified numbers,9f0b4749-6a0c-4184-9dae-5fdef97c08d2,7,hospital,9829294865,False,0,0,9,,,Getwell Hospital,"RAJASTHAN, sikar",Beds available,False,9414214011,,,,,,,,,,,"24 April, 1:30 PM",,Verified,,Oxygen Bed,Sikar,,,,,,,,,
Delhi (NCT),New Delhi,12,158,One time verified numbers,2f814d0f-fbe2-4c19-a9c6-60189f9ea7b8,30,hospital,8448284610,False,0,0,9,,,Madhukar Rainbow Children Hospital11 ICU Beds,"Geetanjali FC 29 5 Near Malaviya Nagar Metro Station, New Delhi",Switch Off,False,9100065913,,,,,,,,,,,4/25/2021 5:00p.m,,,,,,,,,,,,,,
Bihar,Patna,8,112,One time verified numbers,4d277502-868d-4106-889a-1e75f27ee425,57,hospital,7004406669,False,0,0,9,,,"K.K Hospital, Purnea",,"No ventilators or ICU in the hospital, patient will have to travel for 350 km to Purnea",False,,,,,,,,,,,,26th Apr 10 am,,,,,,,,,,,,,,
