id,state,district,state_id,district_id,category,phone_1,title,address,city,phone_2,last_verified_on
0,Uttar Pradesh,mirzapur,35,664,hospital,9628214214,Apex Institure Of Medical Sciences,,,9415304106,4/22/2021 18:29:00
1,Maharashtra,mumbai city,22,378,hospital,91 223759025,BMS Mumbai medical helpline,,,,
2,Chhattisgarh,raipur,10,148,hospital,9424202260,sp sahu,Indore stadium,,,
3,Delhi (NCT),south west delhi,12,165,hospital,011-25322335,Surya kiran hospital,Najafgarh,najafgarh,7982806070,"24 April, 3:14AM"
4,Delhi (NCT),north west delhi,12,161,hospital,011-43126000,Bhagwati Hospital,"Rohini, New Delhi",rohini,,23 April - 19:57
5,Delhi (NCT),south west delhi,12,165,hospital,9354085207,Jay Hospital,Najafgarh,najafgarh,,23 April 11:02 PM
6,Haryana,ambala,15,201,hospital,9910223322,Gyan Sagar Medical College,Ambala,ambala,,24 April 12:31 PM
7,Rajasthan,sikar,30,528,hospital,9829294865,Getwell Hospital,"RAJASTHAN, sikar",sikar,9414214011,"24 April, 1:30 PM"
8,Delhi (NCT),new delhi,12,158,hospital,8448284610,Madhukar Rainbow Children Hospital11 ICU Beds,"Geetanjali FC 29 5 Near Malaviya Nagar Metro Station, New Delhi",,9100065913,4/25/2021 5:00p.m
9,Bihar,patna,8,112,hospital,7004406669,"K.K Hospital, Purnea",,,,26th Apr 10 am
10,Bihar,patna,8,112,hospital,9135582078,Ayushmann care Hospital ,,,,26 Apr 1:38 PM
11,Bihar,patna,8,112,hospital,9470003568,Hospital,NMCH Patna,,,
12,Gujarat,dahod,14,177,hospital,7990161244,Railway Main Hospital Dahod,,,,4/23/2021 5:16pm
13,Gujarat,navsari,14,190,hospital,8141846005,Orange Hospital,,,2637242200,4/24/2021 1:57pm
14,Rajasthan,hanumangarh,30,514,hospital,9413378778,Mahatma Gandhi Memorial Hospital,,,,4/27/2021 2:37pm
15,Maharashtra,mumbai city,22,378,hospital,912222197331,BMS Mumbai medical helpline,,,,
16,Bihar,arwal,8,88,hospital,1234567890,Hospital Beds - Arwal,,arwal,,
17,Jharkhand,bokaro,18,255,hospital,1234567890,Hospital Beds - Bokaro,,bokaro steel city,,
18,Uttarakhand,champawat,36,686,hospital,5965231012,District Hospital,,,,4/23/2021 9:06pm
19,Uttarakhand,pauri garhwal,36,690,hospital,1346244701,"Base Hospital Kotdwar, Srinagar Medical College",,,,4/23/2021 6:54pm
20,Uttarakhand,uttarkashi,36,695,hospital,1374222103,District Hospital,,,,4/23/2021 5:57pm
21,West Bengal,howrah,37,704,hospital,9230518611,Sanjivani Nursing Home,,,,4/24/2021 12:34pm
22,Uttar Pradesh,lucknow,35,657,hospital,9839214214,Lucknow Hospital,"B-1, Kanpur - Lucknow Rd, Sindhu Nagar, Behind, Krishna Nagar, Kotwali, Lucknow, Uttar Pradesh 226023",lucknow,0522 2470855,
23,Chhattisgarh,raipur,10,148,hospital,9300850010,ashwani dewagan,Kirti covid care center,,,
24,West Bengal,howrah,37,704,hospital,3340880000,"Ils Hospital , Golabarihowrah",,,,4/23/2021 2:02pm
25,Gujarat,amreli,14,169,hospital,9978293000,Navjivan General Hospital,,,,4/22/2021 2:22pm
26,Gujarat,surat,14,200,hospital,9924144772,Apple Hospital,,,2612310703,4/24/2021 15:47:00
27,Rajasthan,sikar,30,528,hospital,1572274460,"Kalyan Arogya Sadan, Sanwali, Sikar",,,,4/24/2021 12:49:00
28,Uttar Pradesh,kaushambi,35,653,hospital,9451127528,The Purnima Hospital And Research Center,,,9451127528,4/23/2021 17:54:00
29,Bihar,madhepura,8,106,hospital,1234567890,Hospital Beds - Madhepura,,madhepura,,
30,Gujarat,morbi,14,188,hospital,9825257493,Krishna Multispeciality Hospital,,,2822224491,4/23/2021 5:33pm
31,Uttar Pradesh,lucknow,35,657,hospital,9919604383,Vinayak Trauma Centre & Hospital,"Junabgunj,, Kanpur - Lucknow Rd, Lucknow, Uttar Pradesh 227101",lucknow,,
32,Gujarat,morbi,14,188,hospital,7575088888,Ayush Multispeciality Hospital,,,2822222122,4/24/2021 1:35pm
33,Bihar,nalanda,8,110,hospital,1234567890,Hospital Beds - Nalanda,,nalanda,,
34,Rajasthan,jaipur,30,515,hospital,0141 2225624,Rajasthan Covid Control Room/Beds,Jaipur-Rajasthan,jaipur,181,
35,Rajasthan,alwar,30,501,hospital,7793007366,Rajiv Gandhi General Hospital,,,,4/22/2021 2:18pm
36,Bihar,west champaran,8,124,hospital,1234567890,Hospital Beds - West Champaran,,west champaran,,
37,Rajasthan,alwar,30,501,hospital,1445132019,Lords Hospital,,,,4/22/2021 2:17pm
38,Madhya Pradesh,bhopal,21,319,hospital,7692940261,RKDF University Hospital,,,919301108890,4/27/2021 14:35:00
39,Telangana,hyderabad,33,571,hospital,9700884429,Pratima Hospital,,hyderabad,,
40,Uttar Pradesh,lucknow,35,657,hospital,8960099939,Jagrani Hospital,"C 50 51, Trimurti Gram, Ring Road, Kalyanpur, Lucknow, Uttar Pradesh 226022",lucknow,,
41,Kerala,kottayam,1,5,hospital,9447347282,General Hospital Kottayam,,,,4/24/2021 12:09:00
42,Uttar Pradesh,lucknow,35,657,hospital,7982565379,Chandan Hospital,"Faizabad Rd, Vikrant Khand 3, Vikrant Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010",lucknow,9849040855,
43,Tamil Nadu,chennai,32,538,hospital,7358033302,Child Trust Hospitals,,,,4/23/2021 14:06:00
44,Bihar,kaimur (bhabua),8,101,hospital,1234567890,Hospital Beds - Kaimur,,kaimur (bhabua),,
45,Maharashtra,mumbai city,22,378,hospital,022-61242424,Horizon Hospital,Thane,mumbai,,
46,Uttar Pradesh,lucknow,35,657,hospital,8176001561,Dr. Ram Manohar Lohia Institute of Medical Sciences,"Vibhuti Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010",lucknow,9453075416,
47,Delhi (NCT),new delhi,12,158,hospital,9968656990,Hospital,army the SVP covid hospital,,9818047498,
48,Bihar,patna,8,112,hospital,1234567890,Hospital Beds - Patna,,patna,,
49,Uttar Pradesh,lucknow,35,657,hospital,0522 2960439,Career Institute of Medical Sciences and Hospital,"Sitapur - Hardoi Bypass Road, Near I.I.M., Ghailla, Lucknow, Uttar Pradesh 226020",lucknow,,
50,Uttarakhand,champawat,36,686,hospital,1234567890,Champawat Covid Beds,Champawat,champawat,,
51,Meghalaya,east garo hills,24,414,hospital,8414055904,Williamnagar Civil Hospital,,,,4/27/2021 14:40:00
52,Uttar Pradesh,lucknow,35,657,hospital,0522-2622627,DRDO Avadh Shilpgram Covid Care Centre,"near, Sector 9, Amar Shaheed Path, Awadh Vihar Yojna, Lucknow, Uttar Pradesh 226029",lucknow,9454416813,
53,Gujarat,jamnagar,14,182,hospital,9652051550,Jamnagar Critical Care Hospital,,,2882563056,4/23/2021 17:59:00
54,Uttar Pradesh,lucknow,35,657,hospital,8004748577,Lucknow Heritage Hospital,"Kanchan Market Complex, Phool Mandi, Chowk, Lucknow, Uttar Pradesh 226003",lucknow,0522 225 8577,
55,Bihar,patna,8,112,hospital,7903149205,Hospital,Ashoka Patliputra patna,,,
56,Rajasthan,jaipur,30,515,hospital,9828816158,Swasthya Kalyan Covid Care Centre,"Sitapura, Jaipur",jaipur,9887587811,
57,Rajasthan,jaipur,30,515,hospital,1412246161,Asopa Hospital,,,,4/27/2021 14:41:00
58,Bihar,nawada,8,111,hospital,1234567890,Hospital Beds - Nawada,,nawada,,
59,Bihar,aurangabad,8,89,hospital,1234567890,Hospital Beds - Aurangabad,,aurangabad,,
60,Karnataka,bengaluru (bangalore) urban,19,283,hospital,1800 102 5555,Manipal Hospital,"98, HAL Old Airport Rd, Kodihalli, Bengaluru, Karnataka 560017, India",bangalore,,
61,Gujarat,surat,14,200,hospital,9825649192,R.T.S.V Hospital,,,2612578887,4/24/2021 14:01:00
62,Bihar,khagaria,8,103,hospital,1234567890,Hospital Beds - Khagaria,,khagaria,,
63,Maharashtra,mumbai city,22,378,hospital,9136665105,SR Memorial hospital,,mumbai,,
64,Uttar Pradesh,unnao,35,681,hospital,9412738652,Shri Ram Murti Smarak Hospital,,,9412293353,4/24/2021 12:39:00
65,Uttar Pradesh,lucknow,35,657,hospital,9119690303,Makewell Hospital,"Vijay Tower, CP-1, Vastu Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010",lucknow,7897492222,
66,Haryana,gurgaon,15,206,hospital,9818073527,hospital,,,,
67,Maharashtra,mumbai city,22,378,hospital,022-25855081,Lifecare Hospital,Thane,mumbai,,
68,Maharashtra,mumbai city,22,378,hospital,022-25763500,Hiranandani Hospital,Powai,mumbai,,
69,Uttarakhand,dehradun,36,687,hospital,1234567890,Dehradun Covid Beds,Dehradun,dehradun,,
70,Kerala,ernakulam,1,7,hospital,9847278924,Medical College Ernakulam,,,,4/23/2021 17:49:00
71,Uttar Pradesh,lucknow,35,657,hospital,9648543523,Anandi Water Park ( Covid Care Centre),ESI ,lucknow,094150 08377,
72,Uttar Pradesh,kanpur dehat,35,650,hospital,7235002769,hospitsl,"JL Rohtagi, Kanpur",,,
73,Uttar Pradesh,lucknow,35,657,hospital,7000050719,HInd Medical College,"Safedabad, Barabanki Road, Near Canal,Lucknow Metro, Lucknow, Uttar Pradesh 225003",lucknow,9415387752,
