state,district,state_id,district_id,data_name,external_id,data_id,category,phone_1,is_duplicate,downvotes,upvotes,created_job,email,price,title,address,comment,deleted,phone_2,pincode,latitude,longitude,created_by,created_on,Assigned_to,description,source_link,verified_by,resource_type,last_verified_on,quantity_available,verification_status,city,pin_code,resource type,hospital_available_icu_beds,hospital_available_normal_beds,hospital_available_oxygen_beds,hospital_available_ventilator_beds,oxygen supplier willing to join WhatsAppBot
Maharashtra,Kolhapur,22,376,COVIDFYI,77d12824-33dd-4633-8135-e710ec689a92,1599,medicine,9545555300,False,0,0,8,diprakop@gmail.com,,DIPRA AND COMPANY,"C S NO 771 / 1B, 4TH FLOORE WARDSHAHUPURI, 5TH LANESHIVSHAKTI  DISTRIBUTORS BUILDING,KOLHAPUR,416001",,False,,416001,16.5975043,74.1005044,,,,Remdesivir distribution list,,Bharath Alur,Remdesivir,27/4/2021 6:28pm,,Pending,,,,,,,,
Maharashtra,Pune,22,387,COVIDFYI,d160413d-56ff-4cb7-b2fc-28e9af2252c2,1616,medicine,9822072975/27034,False,0,0,8,laxmimedical@gmail.com,,LAXMI MEDICAL (PUNE),"S/NO 29 RAMWADINAGAR ROADPUNEX,PUNE,411014",,False,,411014,18.5620613,73.9167451,,,,Remdesivir distribution list,,Bharath Alur,Remdesivir,27/4/2021 6:28pm,,Pending,,,,,,,,
Tamil Nadu,Tiruchirappalli,32,560,COVIDFYI,36c3930e-1e4b-4f07-a697-8098c7c056f9,1444,medicine,0431-4030131,False,0,0,8,globallifecare123@yahoo.com,,GLOBAL LIFE CARE,"NO 3, Ground Floor, 7TH CROSS, 5THTRICY, TAMILNADUSHRINIVASA NAGAR,  SOUTH VAYALUR ROAD,Trihcy,620017",Not answering the call,False,,620017,10.7904833,78.7046725,,,,Remdesivir distribution list,,Bharath Alur,Remdesivir,23/4/2021 9:06pm,,Unresponsive,,,,,,,,
Maharashtra,Mumbai City,22,378,COVIDFYI,dc51f439-a1e5-49a8-9f38-bb265df53f5d,2009,medicine,8369649672,False,0,0,8,,,Mehadia Tradelinks,"Mehadia Tradelinks  98/779 , rashmi mansion, motilal Nagar 1,near rickshaw stand, goregaon west, Mumbai 400104",Bevacizumab 100mg,False,9833866564,400104,19.155801,72.839348,,,,,,Bharath Alur,,27/4/2021 6:28pm,,Pending,,,,,,,,
Maharashtra,Latur,22,377,COVIDFYI,6cf78f0b-40ce-40cb-bdc3-391ba254f280,1254,medicine,02382 -258455,False,0,0,8,waraddeepak@gmail.com,,WARAD DISTRIBUTORS,"SHOP NO 2, FIRST FLOOR,KHANDOBA GALLI , LATURWARAD HOSPITAL  BUILDINGHOUSE NO.R 4 102 1 A,LATUR,413512",Drugs are unavailable. They are supplying directly to COVID-19 centres. Not sure about when stock will be replenished. Couldn't share the contact number of nearby centers.,False,,413512,18.435351,76.606611,,,,Remdesivir distribution list,,Bharath Alur,Remdesivir,5/1/2021 15:52:17,,Invalid,,,,,,,,
Maharashtra,Aurangabad,22,365,COVIDFYI,5db16343-0678-4a4b-9684-9c34cb544a10,1595,medicine,9890032119,False,0,0,8,lalit_vardhaman@yahoo.com,,VARDHAMAN DISTRIBUTORS,"CS NO 58/3, SHOP NO A-101/102, 01 & 02SUVASTU SANKUL, NEAR MAA  HOSPITALBEHIND SHIVSHANKAR THEATRESHIVAJI NAGAR,MIRAJ,416410",,False,,416410,,,,,,Remdesivir distribution list,,Bharath Alur,Remdesivir,27/4/2021 6:28pm,,Pending,,,,,,,,
Andhra Pradesh,Krishna,5,24,COVIDFYI,61a8cde9-7da2-4724-b659-b76c6d1c6f3f,1441,medicine,0866-3202242,False,0,0,8,aurobindodrugs@gmail.com,,AUROBINDO DRUGS (GNT),"D.NO:8-72, BLOCK-IIPRASAD PLAZA,KAMAIAHTHOPU CENTER,M.G.  ROADVIJAYAWADA,VIJAYAWADA,520007","All lines of this route are currently busy, please try later.",False,,520007,16.4891445,80.6868915,,,,Remdesivir distribution list,,Bharath Alur,Remdesivir,23/4/2021 6:16pm,,Unresponsive,,,,,,,,
Maharashtra,Gondia,22,372,COVIDFYI,f30e3404-1f02-450b-8800-ba9c54a4eb85,1655,medicine,7182665444,False,0,0,8,golu.sind@gmail.com,,SIND MEDICAL STORES (NEW),"(AGENCIES DEPARTMENT)DESH BANDHU WARDBANK  STREETGONDIA,GONDIA,441601",,False,,441601,21.4593332,80.1913735,,,,Remdesivir distribution list,,Bharath Alur,Remdesivir,27/4/2021 6:28pm,,Pending,,,,,,,,
Maharashtra,Pune,22,387,COVIDFYI,0b0d3f7b-9f0f-4211-af1d-cc64339cd748,1689,medicine,1800222365,False,0,0,8,,,Collector and Drug inspectors,,Remdesivir injection now will be provided thru Collector and Drug inspectors  1800222365 call on this toll free no and ask for injection. They share you contact no of area drug inspector .,False,,,,,,,,,Twitter,Bharath Alur,Remdesivir,27/4/2021 6:28pm,,Pending,,,,,,,,
Gujarat,Kachchh,14,184,COVIDFYI,ad5abc29-eb29-4f04-a27d-ccd378334c7d,1400,medicine,2832,False,0,0,8,mjtbhuj@gmail.com,,MJT PHARMA,"Shop no C 85 & 88,Katira Medical MarketKatira ComplexRTO Relocation SiteMadhapar  Rd,Bhuj,370001",Number not available,False,,370001,34.041527,-118.254705,,,,Remdesivir distribution list,,Bharath Alur,Remdesivir,24/4/2021 12:27pm,,Unresponsive,,,,,,,,
