state,district,state_id,district_id,phone_1,title,phone_2,last_verified_on,quantity_available,verification_status,resource_type
Uttar Pradesh,Kanpur Nagar,35,651,8368524248,Oxygen Cylinders Available for 60k No Name,,5/1/2021 19:00:00,,Call again,
Maharashtra,Mumbai City,22,378,9825070680,Hiltone Gas,,"April 25, 2021 7:24 PM",,,Oxygen
Delhi (NCT),Central Delhi,12,156,9811198769,Vandana,,"April 24, 2021 4:14 PM",Available,,Concentrator
Tamil Nadu,Chennai,32,538,9880005974,Jamiat Ulama (Bismillah Nagar),,"April 25, 2021 7:24 PM",,,Oxygen
Maharashtra,Mumbai City,22,378,9845211419,Manjunatha Air Products,,"April 25, 2021 7:24 PM",,,Oxygen - Refill
Maharashtra,Mumbai City,22,378,9320948457,Jain Temple,,,,verified,refill
Karnataka,Bengaluru (Bangalore) Urban,19,283,18001212323,Portea Medical,,"2nd May, 1:43 PM",,verified,Cylinder
Karnataka,Bengaluru (Bangalore) Urban,19,283,7892718709,Ravi,,6th May. 1:20 PM,,verified,Cylinder
Karnataka,Dakshina Kannada,19,289,0824-2407221,Malabar Oxygen Company Pvt. Ltd,2406221/ 2400221,44317,,Verified,Cylinder
West Bengal,North 24 Parganas,37,711,8617608842,no name,,5/10/2021 11:00:25,Unavailable,Verified,
Telangana,Hyderabad,33,571,9967792526,Nameless,,"April 25, 2021 7:24 PM",,,Oxygen Cylinders
Karnataka,Bengaluru (Bangalore) Urban,19,283,9886444009,Dhuni G Oxygen concentrator,,44317,,Verified,Concentrator
West Bengal,Howrah,37,704,7557077073,Subhadip,,5/10/2021 10:44:25,Available,Verified,
Telangana,Hyderabad,33,571,8978187814,MD Shaifuddin Oxygen,,"April 25, 2021 7:24 PM",,,Oxygen
Karnataka,Bengaluru (Bangalore) Rural,19,282,7985096433,Oxygen,,"April 25, 2021 7:24 PM",,,Oxygen
Maharashtra,Mumbai City,22,378,9925110148,Aims Oxygen Pvt. Ltd.,,"April 25, 2021 7:24 PM",,,Oxygen
Madhya Pradesh,Bhopal,21,319,9496824218,Vigneswara Oxygen,,"April 25, 2021 7:24 PM",,,Oxygen
Haryana,Panipat,15,217,9511834895,Nameless,,"April 25, 2021 7:24 PM",,,Oxygen
