state,district,state_id,district_id,data_name,external_id,data_id,category,phone_1,is_duplicate,downvotes,upvotes,created_job,email,price,title,address,comment,deleted,phone_2,pincode,latitude,longitude,created_by,created_on,Assigned_to,description,source_link,verified_by,resource_type,last_verified_on,quantity_available,verification_status,resource_type_1,city,pin_code,hospital_available_icu_beds,hospital_available_normal_beds,hospital_available_oxygen_beds,hospital_available_ventilator_beds,oxygen_supplier_willing_to_join_WhatsAppBot,Details,Other_comments,resource_type_2,Sales_Renta_Charity,Status,last_verified,Row_ID,Selected_By_User,Verification_Image
Uttar Pradesh,Kanpur Nagar,35,651,COVIDFYI,2de1cdb9-1a0a-4164-9a5b-c2e99553df28,681,oxygen,8368524248,False,0,0,8,,,Oxygen Cylinders Available for 60k No Name,,,False,,,,,,,,,,Soumya pochiraju,,5/1/2021 19:00:00,,Call again,,,,,,,,,,,,,,,,,
Maharashtra,Mumbai City,22,378,Care,dedb51e1-e7b5-48f4-8d5e-d16d5521283b,530,oxygen,9825070680,False,0,0,1,Dailed no does not exist,,Hiltone Gas,Mr Shetty,Bogus Numbers,False,,,,,,,,Ghatkopar,https://twitter.com/intent/tweet?url=https%3A%2F%2Findiacovidresources.in%2F&text=,,,"April 25, 2021 7:24 PM",,,Oxygen,,,,,,,,,,,,,,,,
Delhi (NCT),Central Delhi,12,156,Care,300fbb76-0c11-4bdd-a91d-74c57a03ab28,900,oxygen,9811198769,False,0,0,1,,,Vandana,X,,False,,,,,,4/24/2021 4:14 PM,,Home delivery. Oxygen concentrator,,,,"April 24, 2021 4:14 PM",Available,,Concentrator,,,,,,,,,,,,,,,,
Tamil Nadu,Chennai,32,538,Care,60934e23-dc74-40c5-b45c-d73de9929598,909,oxygen,9880005974,False,0,0,1,,,Jamiat Ulama (Bismillah Nagar),T N Oxygen Pvt. Ltd.,Available,False,,,,,,,,,https://twitter.com/intent/tweet?url=https%3A%2F%2Findiacovidresources.in%2F&text=,,,"April 25, 2021 7:24 PM",,,Oxygen,,,,,,,,,,,,,,,,
Maharashtra,Mumbai City,22,378,Care,c78cc4d7-c145-49b6-8ada-74a3bbf93cde,569,oxygen,9845211419,False,0,0,1,,,Manjunatha Air Products,Shree Porwal Jain Sangh Aaradhana Bhavan,Third Party Verified,False,,,,,,,,"Bldg no 4, Shop No 7, Opp. Mambabai School, DL Jain Compound, Chinchpokli E,Mumbai 13",,,,"April 25, 2021 7:24 PM",,,Oxygen - Refill,,,,,,,,,,,,,,,,
Maharashtra,Mumbai City,22,378,﻿COVID-19 Resource Leads for COVIDFYI  | Oxygen,e8661758-142a-45e6-beda-42b678d9cce4,102,oxygen,9320948457,False,0,0,12,,,Jain Temple,Dahisar,Currently Not Available.,False,,,,,Gopal,04/30/21,,,liferesources.in/uttar_pradesh,,,,,verified,refill,Mumbai,,,,,,No,,,,,,,,,
Karnataka,Bengaluru (Bangalore) Urban,19,283,oxygenblr.in,fb27315e-1702-4121-a549-e6683e86f261,38,oxygen,18001212323,False,0,0,14,,,Portea Medical,"69/B, 1st stage, 1st cross, Domlur, Bengaluru","Offers home care to patients, as well as medical equipment. Only Toll free number available. Only works from 9AM- 6PM. On hold for more than 10 mins and the call got cut.",False,,560071,,,oxygenblr.in,44355,,,,Nikitha L,,"2nd May, 1:43 PM",,verified,Cylinder,Bengaluru,,,,,,,,,,,,,,,
Karnataka,Bengaluru (Bangalore) Urban,19,283,oxygenblr.in,b58aedd0-62dd-416d-b50b-ee51d9c526c7,41,oxygen,7892718709,False,0,0,14,,,Ravi,,Not answering,False,,,,,oxygenblr.in,44358,,,,Nikitha L,,6th May. 1:20 PM,,verified,Cylinder,Bengaluru,,,,,,,,,,,,,,,
Karnataka,Dakshina Kannada,19,289,oxygenblr.in,e0370f18-867b-42b6-9b39-ce718daa6dd5,72,oxygen,0824-2407221,False,0,0,14,,,Malabar Oxygen Company Pvt. Ltd,,Available,False,2406221/ 2400221,,,,Covid Directory,44323,,Gautham Poy,,Sridhar Gopalakrishnan,,44317,,Verified,Cylinder,Mangalore,,,,,,,"Maintain stock everyday as they have their own manufacturing plant - medical oxygen) He is not willing to share any ifnormation, asked to contact collector office for details. No details available on whether it is for supply only to Managalore, capacity, etc",,,Sale,,,,,
West Bengal,North 24 Parganas,37,711,West Bengal COVID Aid Network,6a4d3c2a-2f5b-4417-8cf4-54e0794ffbf8,339,oxygen,8617608842,False,0,0,16,,,no name,barasat,Volunteer/refilling,False,,,,,,,,,https://wbcan.org/,,,5/10/2021 11:00:25,Unavailable,Verified,,,,,,,,,,,,,,,,,
